CGPA,IQ,Placement
6.69,103.0,Yes
9.28,80.0,No
8.29,106.0,Yes
7.69,109.0,Yes
5.7,108.0,No
5.7,116.0,Yes
5.26,113.0,Yes
8.9,107.0,Yes
7.71,99.0,Yes
8.19,75.0,Yes
5.09,106.0,Yes
9.36,103.0,Yes
8.75,104.0,Yes
5.96,81.0,No
5.82,84.0,No
5.83,116.0,Yes
6.37,99.0,Yes
7.36,110.0,Yes
6.94,100.0,Yes
6.31,100.0,Yes
7.75,114.0,Yes
5.63,92.0,Yes
6.31,101.0,Yes
6.65,93.0,Yes
7.05,93.0,Yes
8.53,95.0,Yes
5.9,103.0,Yes
7.31,93.0,Yes
7.67,119.0,Yes
5.21,87.0,Yes
7.73,97.0,Yes
5.77,93.0,Yes
5.29,122.0,No
9.27,103.0,Yes
9.35,115.0,Yes
8.64,78.0,Yes
6.37,104.0,No
5.44,113.0,Yes
8.08,101.0,Yes
6.98,116.0,Yes
5.55,92.0,Yes
7.23,121.0,Yes
5.15,134.0,Yes
9.09,95.0,Yes
6.16,93.0,No
7.98,122.0,Yes
6.4,124.0,Yes
7.34,92.0,Yes
7.46,94.0,Yes
5.83,96.0,Yes
9.36,80.0,Yes
8.49,86.0,Yes
9.23,85.0,Yes
9.03,88.0,Yes
7.69,99.0,Yes
9.15,104.0,Yes
5.4,123.0,Yes
5.88,85.0,No
5.2,115.0,Yes
6.46,97.0,No
6.75,99.0,Yes
6.22,110.0,Yes
8.73,83.0,Yes
6.61,106.0,Yes
6.26,102.0,Yes
7.44,107.0,Yes
5.63,104.0,Yes
8.61,137.0,Yes
5.34,90.0,Yes
9.44,92.0,Yes
8.48,91.0,Yes
5.89,92.0,Yes
5.02,90.0,No
8.67,118.0,Yes
8.18,121.0,Yes
8.28,91.0,Yes
8.47,88.0,Yes
5.33,107.0,Yes
6.61,92.0,Yes
5.52,109.0,No
8.88,103.0,Yes
7.8,77.0,Yes
6.49,123.0,No
5.29,127.0,Yes
6.4,91.0,No
6.46,94.0,Yes
8.28,104.0,Yes
7.87,105.0,Yes
8.99,110.0,Yes
7.12,130.0,Yes
5.54,97.0,No
8.21,88.0,Yes
8.42,79.0,No
7.53,89.0,Yes
8.47,100.0,Yes
7.22,127.0,Yes
7.35,92.0,Yes
6.92,103.0,Yes
5.11,100.0,Yes
5.49,118.0,No
5.14,138.0,No
7.86,92.0,Yes
6.41,93.0,No
7.29,116.0,Yes
9.08,110.0,Yes
6.12,128.0,No
6.85,109.0,Yes
8.4,95.0,Yes
6.03,109.0,Yes
5.35,117.0,Yes
6.3,112.0,Yes
5.73,108.0,Yes
9.18,116.0,Yes
8.64,118.0,Yes
7.85,121.0,Yes
8.92,110.0,Yes
8.62,97.0,Yes
5.84,102.0,Yes
9.02,118.0,Yes
7.43,88.0,Yes
8.63,106.0,Yes
9.03,94.0,Yes
6.43,100.0,Yes
5.5,119.0,Yes
6.03,103.0,No
6.92,101.0,Yes
8.68,80.0,Yes
8.87,111.0,Yes
5.03,110.0,Yes
7.3,132.0,Yes
6.88,95.0,Yes
6.0,103.0,No
5.54,104.0,No
6.52,124.0,Yes
9.24,99.0,Yes
6.45,104.0,Yes
7.33,109.0,Yes
8.16,103.0,Yes
6.64,93.0,Yes
9.37,103.0,Yes
9.33,116.0,Yes
6.13,85.0,Yes
7.24,102.0,Yes
6.35,89.0,Yes
6.28,118.0,Yes
5.17,77.0,Yes
7.74,92.0,Yes
7.26,106.0,Yes
5.23,123.0,Yes
6.25,99.0,Yes
9.09,92.0,Yes
6.08,128.0,Yes
5.65,78.0,No
7.2,67.0,No
9.44,107.0,Yes
6.09,92.0,Yes
8.02,85.0,Yes
8.43,111.0,Yes
6.07,104.0,No
8.28,92.0,Yes
6.66,81.0,Yes
7.85,113.0,Yes
7.85,110.0,Yes
7.41,99.0,Yes
5.41,128.0,Yes
8.76,84.0,Yes
6.44,77.0,Yes
5.84,90.0,Yes
5.18,99.0,No
7.66,104.0,Yes
8.05,96.0,Yes
5.07,105.0,No
7.3,81.0,Yes
6.02,122.0,No
7.9,99.0,Yes
5.78,117.0,Yes
8.11,105.0,Yes
6.74,107.0,Yes
9.22,109.0,Yes
5.62,107.0,Yes
6.53,110.0,Yes
5.51,120.0,Yes
9.16,103.0,Yes
8.95,111.0,Yes
6.16,99.0,Yes
7.97,122.0,Yes
8.68,90.0,Yes
7.5,127.0,Yes
7.38,99.0,Yes
6.09,79.0,Yes
5.42,102.0,No
9.04,90.0,Yes
9.05,113.0,Yes
7.85,90.0,Yes
6.53,93.0,Yes
6.57,72.0,Yes
8.27,93.0,Yes
9.04,64.0,Yes
8.99,76.0,No
8.51,111.0,Yes
7.89,112.0,Yes
5.38,106.0,Yes
5.73,85.0,Yes
9.04,99.0,Yes
7.73,100.0,Yes
5.04,83.0,Yes
5.46,123.0,Yes
7.99,113.0,Yes
5.02,97.0,Yes
5.72,100.0,No
7.47,103.0,Yes
8.11,69.0,No
7.93,96.0,Yes
6.01,90.0,Yes
8.2,85.0,Yes
6.07,96.0,Yes
6.46,127.0,No
8.36,110.0,Yes
7.92,91.0,Yes
8.82,109.0,Yes
7.96,121.0,Yes
7.56,114.0,Yes
5.42,101.0,Yes
6.65,90.0,No
6.19,110.0,No
6.1,106.0,No
9.38,113.0,Yes
6.77,110.0,Yes
9.01,116.0,Yes
7.84,92.0,Yes
8.58,120.0,Yes
7.26,103.0,Yes
7.6,131.0,Yes
7.22,90.0,Yes
5.88,126.0,No
8.25,103.0,Yes
6.26,90.0,No
5.11,93.0,No
7.9,95.0,Yes
5.8,106.0,Yes
9.23,108.0,Yes
9.29,91.0,Yes
9.12,100.0,Yes
6.67,132.0,Yes
5.07,126.0,Yes
9.18,107.0,Yes
6.93,101.0,Yes
9.35,102.0,Yes
9.34,109.0,Yes
8.84,85.0,Yes
6.33,96.0,Yes
6.73,75.0,No
8.83,106.0,Yes
6.43,110.0,Yes
5.76,93.0,Yes
7.51,124.0,Yes
9.21,82.0,Yes
8.13,78.0,No
7.57,103.0,Yes
5.44,116.0,No
7.77,125.0,Yes
9.46,93.0,Yes
5.63,116.0,Yes
7.33,99.0,Yes
8.95,97.0,Yes
8.33,113.0,Yes
8.14,110.0,Yes
8.16,76.0,Yes
6.62,122.0,Yes
6.32,121.0,Yes
8.64,91.0,Yes
8.65,106.0,Yes
8.9,107.0,Yes
9.11,104.0,Yes
7.3,92.0,Yes
7.26,90.0,Yes
8.59,100.0,Yes
7.92,118.0,Yes
8.16,108.0,Yes
8.58,94.0,Yes
9.01,112.0,Yes
6.52,57.0,No
6.69,117.0,Yes
5.42,74.0,Yes
7.6,95.0,No
5.16,83.0,Yes
7.1,81.0,Yes
